id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Hour,Neon Echo,pop,happy,0.78,115,0.88,0.81,0.20
12,Late Night Drift,LoRoom,lofi,chill,0.38,75,0.52,0.57,0.80
13,Shatter Glass,Voltline,rock,intense,0.95,158,0.42,0.70,0.08
14,Thunder Road,Iron Cliff,rock,intense,0.88,145,0.51,0.64,0.12
15,Velvet Underground,Slow Stereo,jazz,relaxed,0.33,85,0.74,0.50,0.91
16,City Pulse,Max Pulse,pop,happy,0.80,120,0.82,0.85,0.15
17,Neon Grid,Synthex,synthwave,moody,0.72,108,0.46,0.76,0.18
18,Ocean Breath,Orbit Bloom,ambient,chill,0.22,55,0.70,0.38,0.95
19,Backyard Campfire,Paper Lanterns,indie pop,happy,0.55,100,0.78,0.72,0.62
20,Deep Focus,LoRoom,lofi,focused,0.44,82,0.61,0.63,0.74
21,Flashback Friday,Indigo Parade,indie pop,moody,0.66,112,0.58,0.69,0.40
22,Iron Sunrise,Iron Cliff,rock,intense,0.89,148,0.45,0.68,0.09
